#class	isLiteral
T5	false
AnatomicalLocation	false
BrainNucleus	false
T6	false
Epidural	false
T7	false
T8	false
L1	false
T9	false
L2	false
L3	false
L4	false
L5	false
SpinalCordStump	false
SubcutaneousLocation	false
T11	false
T10	false
T13	false
InhalationDelivery	false
T12	false
DescendingFiberTract	false
SuperficialDelivery	false
ContactDeliveryMethod	false
Lumbar	false
Thoracic	false
VertebralLocation	false
MotorNeurons	false
SpinalSubduralArea	false
Brain	false
MicrodialysisDelivery	false
SerotonergicFibers	false
Extremity	false
Intraspinal	false
AscendingFiberTract	false
SpinalWhiteMatter	false
IntraperitonealLocation	false
Depth	true
CentralCanal	false
SpinalFiberTract	false
IntramuscularLocation	false
VeinLocation	false
FemoralVeinLocation	false
VestibulospinalTract	false
Cyst	false
Distance	true
Intrathecal	false
Sacral	false
TreatmentSite	false
DeliveryMethod	false
SpinalDorsalHalf	false
SpinalVentralHalf	false
SpinalCord	false
Vertebrae	false
Duration	true
DorsalColumn	false
VentricularLocation	false
TailVeinLocation	false
LesionAdjacentTissue	false
SpinalFiber	false
Cervical	false
SympatheticPreganglionicNeurons	false
InfusionDelivery	false
SpinalGrayMatter	false
CentralNervousSystem	false
TectospinalTract	false
CephalicVeinLocation	false
Location	false
SubstanceApplicationLocation	false
ReticulospinalTract	false
OralDelivery	false
C1	false
C2	false
C3	false
C4	false
C5	false
CorticospinalTract	false
VertebralArea	false
C6	false
C7	false
SpinalCentralPart	false
InjectionDelivery	false
VertebralSegment	false
qudt#Quantity	false
SpinalLesionSite	false
T1	false
TyrosineHydroxylaseFibers	false
T2	false
RubrospinalTract	false
T3	false
T4	false
