#superClass	subClass
Vertebrae	T5
Location	AnatomicalLocation
Location	BrainNucleus
Vertebrae	T6
Intrathecal	Epidural
Vertebrae	T7
Vertebrae	T8
Vertebrae	L1
Vertebrae	T9
Vertebrae	L2
Vertebrae	L3
Vertebrae	L4
Vertebrae	L5
Location	SpinalCordStump
SubstanceApplicationLocation	SubcutaneousLocation
Vertebrae	T11
Vertebrae	T10
Vertebrae	T13
DeliveryMethod	InhalationDelivery
Vertebrae	T12
SpinalFiberTract	DescendingFiberTract
DeliveryMethod	SuperficialDelivery
DeliveryMethod	ContactDeliveryMethod
VertebralSegment	Lumbar
VertebralSegment	Thoracic
Location	VertebralLocation
Location	MotorNeurons
Intraspinal	SpinalSubduralArea
CentralNervousSystem	Brain
DeliveryMethod	MicrodialysisDelivery
SpinalFiber	SerotonergicFibers
AnatomicalLocation	Extremity
SpinalCord	Intraspinal
SpinalFiberTract	AscendingFiberTract
Intraspinal	SpinalWhiteMatter
SubstanceApplicationLocation	IntraperitonealLocation
qudt#Quantity	Depth
Location	CentralCanal
SpinalFiber	SpinalFiberTract
SubstanceApplicationLocation	IntramuscularLocation
SubstanceApplicationLocation	VeinLocation
SubstanceApplicationLocation	FemoralVeinLocation
DescendingFiberTract	VestibulospinalTract
Location	Cyst
qudt#Quantity	Distance
SpinalCord	Intrathecal
VertebralSegment	Sacral
Location	TreatmentSite
Intraspinal	SpinalDorsalHalf
Intraspinal	SpinalVentralHalf
CentralNervousSystem	SpinalCord
VertebralLocation	Vertebrae
qudt#Quantity	Duration
SpinalDorsalHalf	DorsalColumn
SubstanceApplicationLocation	VentricularLocation
SubstanceApplicationLocation	TailVeinLocation
SpinalCord	LesionAdjacentTissue
Intraspinal	SpinalFiber
VertebralSegment	Cervical
Location	SympatheticPreganglionicNeurons
DeliveryMethod	InfusionDelivery
Intraspinal	SpinalGrayMatter
AnatomicalLocation	CentralNervousSystem
DescendingFiberTract	TectospinalTract
SubstanceApplicationLocation	CephalicVeinLocation
Location	SubstanceApplicationLocation
DescendingFiberTract	ReticulospinalTract
DeliveryMethod	OralDelivery
Vertebrae	C1
Vertebrae	C2
Vertebrae	C3
Vertebrae	C4
Vertebrae	C5
DescendingFiberTract	CorticospinalTract
VertebralLocation	VertebralArea
Vertebrae	C6
Vertebrae	C7
Intraspinal	SpinalCentralPart
DeliveryMethod	InjectionDelivery
VertebralLocation	VertebralSegment
Intraspinal	SpinalLesionSite
Vertebrae	T1
SpinalFiber	TyrosineHydroxylaseFibers
Vertebrae	T2
DescendingFiberTract	RubrospinalTract
Vertebrae	T3
Vertebrae	T4
