#superClass	subClass
Location	BrainNucleus
Injury	CompleteTransection
Hormone	RecombinantEPORhEpo
WeightDrop	NYUImpactor
Hormone	P4
Injury	ShamOperation
Vehicle	Ethanol
Substance	Celebocid
KeepingCondition	Nutrition
MedicationDuringSurgery	Glycopyrrolate
InjuryDevice	CuttingDevice
SubstanceApplicationLocation	SubcutaneousLocation
InjuryDevice	SpinalCordStrapper
Substance	MagnesiumSulfate
Compound	Virus
Substance	ICI182780
DeliveryMethod	InhalationDelivery
GlialCell	OlfactoryEnsheathingGliaCell
Compound	Conduit
StemCell	MesenchymalStemCell
InjuryArea	DorsalInjuryArea
Dosage	DosageExtracorporal
qudt#Quantity	Thickness
Hormone	EstradiolBenzoate
DeliveryMethod	SuperficialDelivery
DeliveryMethod	ContactDeliveryMethod
WeightDrop	InfiniteHorizonImpactor
Anaesthetic	KetamineAsAnaesthetic
Intraspinal	SpinalSubduralArea
MouseSpecies	C57_BL6_Mouse
SpinalCord	Intraspinal
Sedative	ChloralHydrate
AnimalSpecies	MouseSpecies
InjuryDevice	WeightDrop
Substance	EvansBlue
Protein	NOGOReceptorAntagonist
Substance	Riluzole
Location	CentralCanal
SpinalFiber	SpinalFiberTract
CuttingDevice	Vibraknife
PartialTransection	DorsalHemisection
Anaesthetic	ThiopentalSodium
InjuryDevice	DistractorDevices
Injury	AspirationLesion
Injury	HeatLesion
CompoundSupplier	PfizerMexico
CompoundBiologicalRelation	Allogeneic
Enzyme	TyrosineHydroxylase
CompoundBiologicalRelation	Xenogeneic
KeepingCondition	Hydration
CompoundSupplier	CytrexCorporation
Intraspinal	SpinalVentralHalf
AnimalSpecies	RabbitSpecies
Direction	Rostral
SpinalDorsalHalf	DorsalColumn
RatSpecies	SpragueDawleyRat
Intraspinal	SpinalFiber
Enzyme	ChondroitinaseABC
Substance	Darbepoetin
qudt#Quantity	Length
qudt#Quantity	Volume
CompoundBiologicalRelation	Autologous
InVitroExperimentalProcedure	Transduction
Substance	Phenytoine
Substance	Indomethacin
InVitroExperimentalProcedure	CellDeathInduction
Direction	Left
Compound	Substance
Hormone	Steroid
Location	SubstanceApplicationLocation
DescendingFiberTract	ReticulospinalTract
