#Entity	Slot	SlotSuperEntityType
Anaesthetic	hasDosage	Dosage
AnatomicalLocation	hasDepth	Depth
AnatomicalLocation	hasDistance	Distance
Balloon	hasForce	Force
Balloon	hasPressure	Pressure
Balloon	hasVolume	Volume
Blade	hasLongitude	Length
Blade	hasThickness	Thickness
Cell	hasCompoundBiologicalRelation	CompoundBiologicalRelation
Cell	hasExperimentalProcedure	ExperimentalProcedure
Cell	hasOrganismSpecies	OrganismSpecies
ChemicalInjury	hasChemicalCompound	Compound
Clip	hasDuration	Duration
Clip	hasForce	Force
Clip	hasWeight	Weight
Compound	hasSupplier	CompoundSupplier
Compound	hasTissueSourceLocation	AnatomicalLocation
DeliveryMethod	hasDuration	Duration
DeliveryMethod	hasLocations	Location
Direction	hasDistance	Distance
Direction	relativeTo	Location
InjuryArea	hasIntraSpinalLocation	Intraspinal
InjuryByAccident	hasInjuryByAccidentType	InjuryByAccidentType
Injury	hasAnimalCareCondition	AnimalCareCondition
Injury	hasInjuryAnaesthesia	Anaesthetic
Injury	hasInjuryArea	InjuryArea
Injury	hasInjuryDevice	InjuryDevice
Injury	hasInjuryIntensity	InjuryIntensity
Injury	hasInjuryLocation	VertebralLocation
Injury	hasInjuryPostsurgicalCare	AnimalCareCondition
Injury	hasMedication	MedicationDuringSurgery
LateralHemisection	hasDirection	Direction
MedicationDuringSurgery	hasDeliveryMethod	DeliveryMethod
NucleicAcid	hasKnockoutTarget	TargetCompound
NucleicAcid	hasOverexpressedTarget	TargetCompound
PhotochemicalInjury	hasLightIntensity	LightIntensity
PostsurgicalMedication	hasDosage	Dosage
StemCell	hasStemCellSourceType	StemCellSourceType
Tissue	hasCompoundBiologicalRelation	CompoundBiologicalRelation
Tissue	hasOrganismSpecies	OrganismSpecies
Transduction	hasKnockoutTarget	TargetCompound
Transduction	hasOverexpressedTarget	TargetCompound
Transfection	hasKnockoutTarget	TargetCompound
Transfection	hasOverexpressedTarget	TargetCompound
VertebralArea	hasLowerVertebrae	Vertebrae
VertebralArea	hasUpperVertebrae	Vertebrae
Virus	hasKnockoutTarget	TargetCompound
Virus	hasOverexpressedTarget	TargetCompound
WeightDrop	hasDistance	Distance
WeightDrop	hasDuration	Duration
WeightDrop	hasForce	Force
WeightDrop	hasWeight	Weight
