#class	isLiteral
ForelimbStrengthTest	false
BrainNucleus	false
MechanicalAllodyniaTest	false
NormoxicBreathingTest	false
HindpawSensationParameter	false
SubcutaneousLocation	false
BBBTest	false
SurfaceRightingReflexTest	false
MolecularChangesTest	false
WalkingAnalysisParameter	false
VonFreyFilaments	false
SpinalSubduralArea	false
StainingArea	false
AdhesiveRemovalParameter	false
Intraspinal	false
LouisvilleSwimScale	false
TailFlickReflexTest	false
CentralCanal	false
SpinalFiberTract	false
ThermalWithdrawalThreshold	false
ThermalHyperalgesiaParameter	false
ForelimbAsymmetryTest	false
PainTest	false
IntegratedAmplitude	false
SpinalVentralHalf	false
Rostral	false
TissueSparingTest	false
DorsalColumn	false
SwimmingTest	false
MotoRater	false
SpinalFiber	false
SelfMutilationObservation	false
MotorReflexTest	false
LethargyObservation	false
ElectrophysiologicalFrequency	false
BreathingTest	false
SwingSpeed	false
ConductionVelocity	false
SurvivalObservation	false
InfectionExamination	false
Left	false
SpatialDimensions	false
StrideLength	false
GeneExpressionAnalysis	false
AxonalRegenerationTest	false
SubstanceApplicationLocation	false
ReticulospinalTract	false
SignalIntensity	false
StanceSwingRatio	false
C1	false
CystVolumeTest	false
C2	false
C3	false
C4	false
C5	false
ProteinLevelAnalysis	false
C6	false
C7	false
RemovalLatency	false
NeurologicScalesTest	false
SpinalLesionSite	false
T1	false
T2	false
RubrospinalTract	false
T3	false
T4	false
T5	false
T6	false
Epidural	false
T7	false
T8	false
T9	false
RegularityIndex	false
LesionVolumeTest	false
GripStrengthMeter	false
SchwannCellChangesTest	false
PrintArea	false
Event	false
MotorNeurons	false
Perpendicular	false
FunctionalTest	false
InvestigationMethod	false
SwingDuration	false
GaleRatingScoreTest	false
SecondaryDegenerationTest	false
ObservedParameter	false
HargreavesApparatus	false
FootprintAnalysisTest	false
Right	false
IntramuscularLocation	false
VeinLocation	false
PhysiologyTest	false
FemoralVeinLocation	false
Ventral	false
StepError	false
MyelinationTest	false
Intrathecal	false
ToxicityTest	false
TreatmentSite	false
Longitudinal	false
