#superClass	subClass
LimbMuscleStrengthTest	ForelimbStrengthTest
Location	BrainNucleus
PainTest	MechanicalAllodyniaTest
BreathingTest	NormoxicBreathingTest
ObservedParameter	HindpawSensationParameter
SubstanceApplicationLocation	SubcutaneousLocation
NeurologicScalesTest	BBBTest
MotorReflexTest	SurfaceRightingReflexTest
NonFunctionalTest	MolecularChangesTest
ObservedParameter	WalkingAnalysisParameter
Apparatus	VonFreyFilaments
Intraspinal	SpinalSubduralArea
HistologicalInvestigationParameter	StainingArea
ObservedParameter	AdhesiveRemovalParameter
SpinalCord	Intraspinal
SwimmingTest	LouisvilleSwimScale
PainTest	TailFlickReflexTest
Location	CentralCanal
SpinalFiber	SpinalFiberTract
ThermalHyperalgesiaParameter	ThermalWithdrawalThreshold
ObservedParameter	ThermalHyperalgesiaParameter
MotorTest	ForelimbAsymmetryTest
FunctionalTest	PainTest
ElectrophysiologyParameter	IntegratedAmplitude
Intraspinal	SpinalVentralHalf
Direction	Rostral
SecondaryDegenerationTest	TissueSparingTest
SpinalDorsalHalf	DorsalColumn
LocomotorTest	SwimmingTest
Apparatus	MotoRater
Intraspinal	SpinalFiber
ObservationOfAnimalBehaviour	SelfMutilationObservation
FunctionalTest	MotorReflexTest
ObservationOfAnimalBehaviour	LethargyObservation
ElectrophysiologyParameter	ElectrophysiologicalFrequency
PhysiologyTest	BreathingTest
GaitAnalysisParameter	SwingSpeed
ElectrophysiologyParameter	ConductionVelocity
ObservationOfAnimalBehaviour	SurvivalObservation
PhysiologyTest	InfectionExamination
Direction	Left
GaitAnalysisParameter	StrideLength
MolecularChangesTest	GeneExpressionAnalysis
AxonalChangesTest	AxonalRegenerationTest
Location	SubstanceApplicationLocation
DescendingFiberTract	ReticulospinalTract
HistologicalInvestigationParameter	SignalIntensity
GaitAnalysisParameter	StanceSwingRatio
Vertebrae	C1
LesionVolumeTest	CystVolumeTest
Vertebrae	C2
Vertebrae	C3
Vertebrae	C4
Vertebrae	C5
MolecularChangesTest	ProteinLevelAnalysis
Vertebrae	C6
Vertebrae	C7
AdhesiveRemovalParameter	RemovalLatency
FunctionalTest	NeurologicScalesTest
Intraspinal	SpinalLesionSite
Vertebrae	T1
Vertebrae	T2
DescendingFiberTract	RubrospinalTract
Vertebrae	T3
Vertebrae	T4
Vertebrae	T5
Vertebrae	T6
Intrathecal	Epidural
Vertebrae	T7
Vertebrae	T8
Vertebrae	T9
GaitAnalysisParameter	RegularityIndex
SecondaryDegenerationTest	LesionVolumeTest
Apparatus	GripStrengthMeter
NonNeuronalCellChangesTest	SchwannCellChangesTest
GaitAnalysisParameter	PrintArea
time#TemporalEntity	Event
Location	MotorNeurons
Direction	Perpendicular
InvestigationMethod	FunctionalTest
Event	InvestigationMethod
