#class	isLiteral
LewisRat	false
Weight	true
CD1_Mouse	false
GuineaPigSpecies	false
AnimalSpecies	false
AnimalModel	false
MinipigSpecies	false
Patient	false
RabbitSpecies	false
NewZealandRabbit	false
AlbinoSwissRat	false
OrganismSpecies	false
Young	false
SpragueDawleyRat	false
Mixed	false
DogSpecies	false
Aged	false
ListerHoodedRat	false
C57_BL6_Mouse	false
AgeCategory	false
WistarRat	false
MacaqueMonkey	false
RatSpecies	false
CD2_Mouse	false
Male	false
MouseSpecies	false
HartleyGuineaPig	false
Gender	false
FischerRat	false
BALB_C_Mouse	false
OrganismModel	false
CatSpecies	false
qudt#Quantity	false
Adult	false
LongEvansRat	false
HumanSpecies	false
MonkeySpecies	false
Female	false
Age	true
