#superClass	subClass
RatSpecies	LewisRat
qudt#Quantity	Weight
MouseSpecies	CD1_Mouse
AnimalSpecies	GuineaPigSpecies
OrganismSpecies	AnimalSpecies
OrganismModel	AnimalModel
AnimalSpecies	MinipigSpecies
OrganismModel	Patient
AnimalSpecies	RabbitSpecies
RabbitSpecies	NewZealandRabbit
RatSpecies	AlbinoSwissRat
AgeCategory	Young
RatSpecies	SpragueDawleyRat
Gender	Mixed
AnimalSpecies	DogSpecies
AgeCategory	Aged
RatSpecies	ListerHoodedRat
MouseSpecies	C57_BL6_Mouse
RatSpecies	WistarRat
MonkeySpecies	MacaqueMonkey
AnimalSpecies	RatSpecies
MouseSpecies	CD2_Mouse
Gender	Male
AnimalSpecies	MouseSpecies
GuineaPigSpecies	HartleyGuineaPig
RatSpecies	FischerRat
MouseSpecies	BALB_C_Mouse
AnimalSpecies	CatSpecies
AgeCategory	Adult
RatSpecies	LongEvansRat
OrganismSpecies	HumanSpecies
AnimalSpecies	MonkeySpecies
Gender	Female
qudt#Quantity	Age
