#class	isLiteral
BrainNucleus	false
RecombinantEPORhEpo	false
P4	false
Ethanol	false
Celebocid	false
Capsule	false
OrganismSpecies	false
SubcutaneousLocation	false
MagnesiumSulfate	false
Virus	false
ICI182780	false
InhalationDelivery	false
OlfactoryEnsheathingGliaCell	false
Conduit	false
MesenchymalStemCell	false
DosageExtracorporal	false
EstradiolBenzoate	false
SuperficialDelivery	false
ContactDeliveryMethod	false
Syringe	false
GeneticModificationTreatment	false
Frequency	true
SurgeryTreatment	false
MagneticFieldApplication	false
SpinalSubduralArea	false
C57_BL6_Mouse	false
Intraspinal	false
HypothermiaBlanket	false
MouseSpecies	false
ApplicationInstrument	false
EvansBlue	false
NOGOReceptorAntagonist	false
Riluzole	false
CentralCanal	false
SpinalFiberTract	false
PfizerMexico	false
Allogeneic	false
DeliveryMethod	false
TyrosineHydroxylase	false
Xenogeneic	false
CytrexCorporation	false
SpinalVentralHalf	false
RabbitSpecies	false
Rostral	false
DorsalColumn	false
SpragueDawleyRat	false
SpinalFiber	false
ChondroitinaseABC	false
Darbepoetin	false
Autologous	false
Transduction	false
Phenytoine	false
Indomethacin	false
CellDeathInduction	false
ElectromagneticFieldTreatment	false
Left	false
SpatialDimensions	false
Substance	false
Steroid	false
EnrichedEnvironment	false
SubstanceApplicationLocation	false
ReticulospinalTract	false
Transfection	false
C1	false
C2	false
C3	false
C4	false
Retrovirus	false
Tissue	false
C5	false
C6	false
C7	false
ChinaShenyangSunshinePharmaceuticalCompany	false
InjectionDelivery	false
CatSpecies	false
SpinalLesionSite	false
T1	false
HumanSpecies	false
T2	false
RubrospinalTract	false
T3	false
T4	false
T5	false
T6	false
Epidural	false
T7	false
Syngenic	false
T8	false
T9	false
AnimalSpecies	false
Ice	false
Methanesulfonamide	false
CompoundBiologicalRelation	false
Poloxamer	false
Event	false
NT3Lentivirus	false
MotorNeurons	false
Perpendicular	false
ListerHoodedRat	false
MicrodialysisDelivery	false
Saline	false
LongTermCultivation	false
ModificationTreatment	false
Dosage	true
Right	false
TreadmillTraining	false
IntramuscularLocation	false
VeinLocation	false
FemoralVeinLocation	false
Ventral	false
NovartisMexico	false
OvariectomyTreatment	false
Vehicle	false
Lipopolysaccharide	false
TemperatureTreatment	false
NS398	false
Intrathecal	false
HypothermicTreatment	false
TreatmentSite	false
Longitudinal	false
PBS	false
Neurotrophin3	false
CompoundTreatment	false
AtorvastatinAT	false
DehydroEpiandrosteroneSulfate	false
StemCell	false
NormothermicTreatment	false
SpinalCord	false
AlbinoSwissRat	false
Proliferation	false
Vertebrae	false
Duration	true
PolyethyleneGlycolPEG	false
Mexiletine	false
VentricularLocation	false
LesionAdjacentTissue	false
DogSpecies	false
CentralNervousSystem	false
Inosine	false
OscillatingFieldStimulator	false
Fibroblast	false
RocheMexico	false
TectospinalTract	false
Location	false
Interval	true
DMSO	false
P188	false
WistarRat	false
OralDelivery	false
HartleyGuineaPig	false
Matrix	false
ICOSCorporation	false
SpinalCentralPart	false
Micropump	false
TyrosineHydroxylaseFibers	false
AnatomicalLocation	false
AcetylsalicylicAcid	false
GuineaPigSpecies	false
Hormone	false
ShortTermCultivaton	false
SpinalCordStump	false
PhysicalTreatment	false
Ketamine	false
Dedifferentiation	false
LithiumChloride	false
DNA	false
Dipyridamol	false
Liposomes	false
Current	true
Brain	false
Erythropoietin	false
