#superClass	subClass
Location	BrainNucleus
Hormone	RecombinantEPORhEpo
Hormone	P4
Vehicle	Ethanol
Substance	Celebocid
ApplicationInstrument	Capsule
SubstanceApplicationLocation	SubcutaneousLocation
Substance	MagnesiumSulfate
Compound	Virus
Substance	ICI182780
DeliveryMethod	InhalationDelivery
GlialCell	OlfactoryEnsheathingGliaCell
Compound	Conduit
StemCell	MesenchymalStemCell
Dosage	DosageExtracorporal
Hormone	EstradiolBenzoate
DeliveryMethod	SuperficialDelivery
DeliveryMethod	ContactDeliveryMethod
ApplicationInstrument	Syringe
ModificationTreatment	GeneticModificationTreatment
PhysicalTreatment	SurgeryTreatment
ElectromagneticFieldTreatment	MagneticFieldApplication
Intraspinal	SpinalSubduralArea
MouseSpecies	C57_BL6_Mouse
SpinalCord	Intraspinal
ApplicationInstrument	HypothermiaBlanket
AnimalSpecies	MouseSpecies
Substance	EvansBlue
Protein	NOGOReceptorAntagonist
Substance	Riluzole
Location	CentralCanal
SpinalFiber	SpinalFiberTract
CompoundSupplier	PfizerMexico
CompoundBiologicalRelation	Allogeneic
Enzyme	TyrosineHydroxylase
CompoundBiologicalRelation	Xenogeneic
CompoundSupplier	CytrexCorporation
Intraspinal	SpinalVentralHalf
AnimalSpecies	RabbitSpecies
Direction	Rostral
SpinalDorsalHalf	DorsalColumn
RatSpecies	SpragueDawleyRat
Intraspinal	SpinalFiber
Enzyme	ChondroitinaseABC
Substance	Darbepoetin
CompoundBiologicalRelation	Autologous
InVitroExperimentalProcedure	Transduction
Substance	Phenytoine
Substance	Indomethacin
InVitroExperimentalProcedure	CellDeathInduction
PhysicalTreatment	ElectromagneticFieldTreatment
Direction	Left
Compound	Substance
Hormone	Steroid
RehabilitativeTraining	EnrichedEnvironment
Location	SubstanceApplicationLocation
DescendingFiberTract	ReticulospinalTract
InVitroExperimentalProcedure	Transfection
Vertebrae	C1
Vertebrae	C2
Vertebrae	C3
Vertebrae	C4
Virus	Retrovirus
Compound	Tissue
Vertebrae	C5
Vertebrae	C6
Vertebrae	C7
CompoundSupplier	ChinaShenyangSunshinePharmaceuticalCompany
DeliveryMethod	InjectionDelivery
AnimalSpecies	CatSpecies
Intraspinal	SpinalLesionSite
Vertebrae	T1
OrganismSpecies	HumanSpecies
Vertebrae	T2
DescendingFiberTract	RubrospinalTract
Vertebrae	T3
Vertebrae	T4
Vertebrae	T5
Vertebrae	T6
Intrathecal	Epidural
Vertebrae	T7
CompoundBiologicalRelation	Syngenic
Vertebrae	T8
Vertebrae	T9
OrganismSpecies	AnimalSpecies
ApplicationInstrument	Ice
Substance	Methanesulfonamide
CompoundSource	CompoundBiologicalRelation
Substance	Poloxamer
time#TemporalEntity	Event
Lentivirus	NT3Lentivirus
Location	MotorNeurons
Direction	Perpendicular
RatSpecies	ListerHoodedRat
DeliveryMethod	MicrodialysisDelivery
Vehicle	Saline
InVitroExperimentalProcedure	LongTermCultivation
Treatment	ModificationTreatment
qudt#Quantity	Dosage
Direction	Right
RehabilitativeTraining	TreadmillTraining
SubstanceApplicationLocation	IntramuscularLocation
SubstanceApplicationLocation	VeinLocation
SubstanceApplicationLocation	FemoralVeinLocation
Direction	Ventral
CompoundSupplier	NovartisMexico
ModificationTreatment	OvariectomyTreatment
Substance	Vehicle
Substance	Lipopolysaccharide
PhysicalTreatment	TemperatureTreatment
Vehicle	NS398
SpinalCord	Intrathecal
TemperatureTreatment	HypothermicTreatment
Location	TreatmentSite
Direction	Longitudinal
Vehicle	PBS
Protein	Neurotrophin3
Treatment	CompoundTreatment
17BetaEstradiolE2	AtorvastatinAT
Hormone	DehydroEpiandrosteroneSulfate
Cell	StemCell
TemperatureTreatment	NormothermicTreatment
CentralNervousSystem	SpinalCord
RatSpecies	AlbinoSwissRat
InVitroExperimentalProcedure	Proliferation
VertebralLocation	Vertebrae
qudt#Quantity	Duration
Substance	PolyethyleneGlycolPEG
Substance	Mexiletine
SubstanceApplicationLocation	VentricularLocation
SpinalCord	LesionAdjacentTissue
AnimalSpecies	DogSpecies
AnatomicalLocation	CentralNervousSystem
Substance	Inosine
Electrodes	OscillatingFieldStimulator
Cell	Fibroblast
CompoundSupplier	RocheMexico
DescendingFiberTract	TectospinalTract
Vehicle	DMSO
Poloxamer	P188
RatSpecies	WistarRat
DeliveryMethod	OralDelivery
GuineaPigSpecies	HartleyGuineaPig
Compound	Matrix
CompoundSupplier	ICOSCorporation
Intraspinal	SpinalCentralPart
ApplicationInstrument	Micropump
SpinalFiber	TyrosineHydroxylaseFibers
Location	AnatomicalLocation
Substance	AcetylsalicylicAcid
AnimalSpecies	GuineaPigSpecies
Protein	Hormone
InVitroExperimentalProcedure	ShortTermCultivaton
Location	SpinalCordStump
Treatment	PhysicalTreatment
Substance	Ketamine
InVitroExperimentalProcedure	Dedifferentiation
Substance	LithiumChloride
NucleicAcid	DNA
Substance	Dipyridamol
ApplicationInstrument	Liposomes
qudt#Quantity	Current
CentralNervousSystem	Brain
Hormone	Erythropoietin
Vehicle	VegetableOil
SpinalFiberTract	AscendingFiberTract
Intraspinal	SpinalWhiteMatter
qudt#Quantity	ElectricFieldStrength
ApplicationInstrument	Catheter
ImmuneCell	MacrophageCell
Hormone	PregnenoloneS
Direction	Dorsal
Substance	MinocyclineMC
qudt#Quantity	Depth
ApplicationInstrument	Electrodes
Compound	TargetCompound
DescendingFiberTract	VestibulospinalTract
RehabMedication	Quipazine
Substance	PEGFITC
PhysicalTreatment	PhysicalImplantTreatment
Substance	MethylprednisoloneMP
CompoundSupplier	OrthoBiotech
qudt#Quantity	Distance
VertebralSegment	Sacral
ApplicationInstrument	Cannula
Protein	Antibody
InVitroExperimentalProcedure	Purification
Substance	MPSS
StemCell	UmbilicalCordBloodStemCell
Direction	Contrallateral
AnimalSpecies	MinipigSpecies
CompoundSource	CompoundSupplier
Substance	CyclosporineA
Substance	Tetracycline
SubstanceApplicationLocation	TailVeinLocation
TargetCompound	Protein
Cell	GlialCell
Location	SympatheticPreganglionicNeurons
DeliveryMethod	InfusionDelivery
Cell	ImmuneCell
Intraspinal	SpinalGrayMatter
ApplicationInstrument	Gelfoam
SubstanceApplicationLocation	CephalicVeinLocation
Substance	Rolipram
InVitroExperimentalProcedure	Differentiation
Substance	Clodronate
TargetCompound	NucleicAcid
Hormone	Melatonin
DNA	VimentinAntiSenseDNA
AnimalSpecies	RatSpecies
Substance	Pregabalin
SpatialDimensions	Direction
VertebralLocation	VertebralArea
Direction	Caudal
VertebralLocation	VertebralSegment
Protein	Enzyme
Antibody	AntiCD11dAntibody
Dosage	DosageIntracorporal
Substance	SC58125
ElectromagneticFieldTreatment	CurrentApplication
Substance	BW755C
Vertebrae	L1
ApplicationInstrument	ImplantedDepotPellet
Vertebrae	L2
Vertebrae	L3
GlialCell	SchwannCell
Vertebrae	L4
Substance	Pioglitazone
Vertebrae	L5
Retrovirus	Lentivirus
RabbitSpecies	NewZealandRabbit
ApplicationInstrument	Micropipette
Protein	Albumin
StemCell	BoneMarrowStemCell
CompoundSupplier	SigmaAldrich
Vertebrae	T11
Vertebrae	T10
Vertebrae	T13
Vertebrae	T12
SpinalFiberTract	DescendingFiberTract
VertebralSegment	Lumbar
VertebralSegment	Thoracic
Location	VertebralLocation
ApplicationInstrument	OsmoticMinipump
Protein	GreenFluorescentProtein
CompoundSupplier	Seikagaku
NucleicAcid	RNA
ExperimentalProcedure	InVitroExperimentalProcedure
SpinalFiber	SerotonergicFibers
AnatomicalLocation	Extremity
SubstanceApplicationLocation	IntraperitonealLocation
CompoundSupplier	DragonPharmaceuticals
Antibody	AntiNG2Antibody
Enzyme	ArylsulfataseB
RatSpecies	FischerRat
Enzyme	Penicillinase
qudt#Quantity	Voltage
Vehicle	RingersSolution
Substance	Magnesium
Substance	Ibuprofen
Location	Cyst
Direction	Bilateral
Hormone	AsialoEPO
Antibody	AntiNogoAAntibody
RatSpecies	LongEvansRat
AnimalSpecies	MonkeySpecies
Compound	Cell
CompoundSupplier	NektarTherapeuticsInc
InVitroExperimentalProcedure	Labeling
RatSpecies	LewisRat
Substance	Iloprost
MouseSpecies	CD1_Mouse
Intraspinal	SpinalDorsalHalf
PhysicalTreatment	RehabilitativeTraining
Direction	Lateral
Hormone	17BetaEstradiolE2
ElectromagneticFieldTreatment	VoltageApplication
VertebralSegment	Cervical
Hormone	Progesterone
StemCell	HematopoieticStemCell
Event	Treatment
Substance	HematoxyLinEosin
Vehicle	Water
StemCellSourceType	Embryonic
CompoundSupplier	TakedaPharmaceuticalCompany
StudyDesign	ExperimentalProcedure
qudt#Quantity	Temperature
Hormone	Estrogen
MonkeySpecies	MacaqueMonkey
MouseSpecies	CD2_Mouse
Hormone	Pregnenolone
MouseSpecies	BALB_C_Mouse
DescendingFiberTract	CorticospinalTract
Direction	Ipsilateral
Protein	BrainDerivedNeurotrophicFactor
