#Entity	Slot	SlotSuperEntityType
AnatomicalLocation	hasDepth	Depth
AnatomicalLocation	hasDistance	Distance
Cell	hasCompoundBiologicalRelation	CompoundBiologicalRelation
Cell	hasExperimentalProcedure	ExperimentalProcedure
Cell	hasOrganismSpecies	OrganismSpecies
Compound	hasSupplier	CompoundSupplier
Compound	hasTissueSourceLocation	AnatomicalLocation
CompoundTreatment	hasCompound	Compound
CompoundTreatment	hasDosage	Dosage
CompoundTreatment	hasSuppliedCompositeCompound	Compound
DeliveryMethod	hasDuration	Duration
DeliveryMethod	hasLocations	Location
Direction	hasDistance	Distance
Direction	relativeTo	Location
ElectromagneticFieldTreatment	hasCurrent	Current
ElectromagneticFieldTreatment	hasElectricFieldStrength	ElectricFieldStrength
ElectromagneticFieldTreatment	hasVoltage	Voltage
GeneticModificationTreatment	hasKnockoutTarget	TargetCompound
GeneticModificationTreatment	hasOverexpressedTarget	TargetCompound
NucleicAcid	hasKnockoutTarget	TargetCompound
NucleicAcid	hasOverexpressedTarget	TargetCompound
RehabilitativeTraining	hasRehabMedication	RehabMedication
StemCell	hasStemCellSourceType	StemCellSourceType
TemperatureTreatment	hasTemperature	Temperature
Tissue	hasCompoundBiologicalRelation	CompoundBiologicalRelation
Tissue	hasOrganismSpecies	OrganismSpecies
Transduction	hasKnockoutTarget	TargetCompound
Transduction	hasOverexpressedTarget	TargetCompound
Transfection	hasKnockoutTarget	TargetCompound
Transfection	hasOverexpressedTarget	TargetCompound
Treatment	hasApplicationInstrument	ApplicationInstrument
Treatment	hasDeliveryMethod	DeliveryMethod
Treatment	hasDirection	Direction
Treatment	hasDuration	Duration
Treatment	hasFrequency	Frequency
Treatment	hasInterval	Interval
Treatment	hasLocation	Location
VertebralArea	hasLowerVertebrae	Vertebrae
VertebralArea	hasUpperVertebrae	Vertebrae
Virus	hasKnockoutTarget	TargetCompound
Virus	hasOverexpressedTarget	TargetCompound
