#Slot	MaxCardinality
hasDeliveryMethod	1
hasStemCellSourceType	1
hasOrganismSpecies	1
hasApplicationInstrument	1
hasCompoundBiologicalRelation	1
hasDepth	1
hasConstraint	-1
hasInjuryLocation	1
hasInjuryDevice	1
hasOverexpressedTarget	-1
hasWeight	1
hasKnockoutTarget	-1
hasForce	1
hasGroupName	-1
hasInjuryModel	1
hasSupplier	1
hasMedication	-1
hasOrganismModel	1
hasFrequency	1
hasInjuryIntensity	1
hasInjuryArea	1
hasCompound	1
hasUpperVertebrae	1
hasAge	1
hasLongitude	1
hasTotalPopulationSize	1
hasLocation	1
hasLowerVertebrae	1
hasThickness	1
hasNNumber	1
hasSuppliedCompositeCompound	-1
hasTemperature	1
hasChemicalCompound	-1
hasMember	-1
hasInjuryAnaesthesia	-1
hasAgeCategory	1
hasDirection	-1
hasDistance	1
hasInterval	1
hasCurrent	1
hasTreatmentType	-1
hasInjuryByAccidentType	-1
hasVoltage	1
hasLightIntensity	1
hasInjuryPostsurgicalCare	-1
hasPressure	1
hasExperimentalProcedure	-1
hasAnimalCareCondition	-1
hasLocations	-1
hasTissueSourceLocation	1
relativeTo	1
hasVolume	1
hasGender	1
hasShamOperation	1
hasIntraSpinalLocation	1
hasDuration	1
hasRehabMedication	1
hasElectricFieldStrength	1
hasGroupNumber	1
hasDosage	1
