#Slot	MaxCardinality
hasDeliveryMethod	1
hasInjuryAnaesthesia	-1
hasOrganismSpecies	1
hasStemCellSourceType	1
hasDirection	-1
hasDistance	1
hasCompoundBiologicalRelation	1
hasDepth	1
hasInjuryLocation	1
hasInjuryDevice	1
hasOverexpressedTarget	-1
hasWeight	1
hasKnockoutTarget	-1
hasForce	1
hasInjuryByAccidentType	-1
hasSupplier	1
hasMedication	-1
hasLightIntensity	1
hasInjuryIntensity	1
hasInjuryArea	1
hasInjuryPostsurgicalCare	-1
hasPressure	1
hasExperimentalProcedure	-1
hasUpperVertebrae	1
hasAnimalCareCondition	-1
hasLocations	-1
hasTissueSourceLocation	1
relativeTo	1
hasLongitude	1
hasVolume	1
hasLowerVertebrae	1
hasThickness	1
hasIntraSpinalLocation	1
hasDuration	1
hasDosage	1
hasChemicalCompound	-1
