#Slot	MaxCardinality
hasLocations	-1
hasWalkingAnalysisParameter	-1
hasFootprintAnalysisParameter	-1
hasDirection	-1
relativeTo	1
hasDistance	1
hasBladderFunctionParameter	-1
hasDepth	1
hasCardioVascularFunctionParameter	-1
hasHindpawSensationParameter	-1
hasLocation	1
hasBBBParameter	-1
hasLowerVertebrae	1
hasHistologicalInvestigationParameter	-1
hasDuration	1
hasAutomatedGaitAnalysisParameter	-1
hasAdhesiveRemovalParameter	-1
hasNarrowBeamParameter	-1
hasAutonomicDysreflexiaParameter	-1
hasLadderRungParameter	-1
hasElectrophysiologyParameter	-1
hasThermalHyperalgesiaParameter	-1
makesUseOf	-1
hasUpperVertebrae	1
