#Slot	MaxCardinality
hasDeliveryMethod	1
hasOrganismSpecies	1
hasStemCellSourceType	1
hasDirection	-1
hasApplicationInstrument	1
hasDistance	1
hasCompoundBiologicalRelation	1
hasDepth	1
hasInterval	1
hasOverexpressedTarget	-1
hasKnockoutTarget	-1
hasCurrent	1
hasSupplier	1
hasVoltage	1
hasFrequency	1
hasExperimentalProcedure	-1
hasCompound	1
hasUpperVertebrae	1
hasLocations	-1
hasTissueSourceLocation	1
relativeTo	1
hasLocation	1
hasLowerVertebrae	1
hasDuration	1
hasRehabMedication	1
hasElectricFieldStrength	1
hasSuppliedCompositeCompound	-1
hasDosage	1
hasTemperature	1
