#class	isLiteral
PartialTransection	false
SpinalLesionSite	false
Scissors	false
Estrogen	false
SubstanceApplicationLocation	false
FluanisoneMidazolamMixture	false
MeasurementOfDecreasingTemperature	false
T6	false
ModerateInjury	false
ICOSCorporation	false
SpinalGrayMatter	false
Caudal	false
PEGFITC	false
IridectomyScissors	false
IntramuscularLocation	false
WeightDrop	false
NT3Lentivirus	false
OlfactoryEnsheathingGliaCell	false
P188	false
Seikagaku	false
Rostral	false
T1	false
L1	false
Vertebrae	false
Pressure	true
MethylprednisoloneMP	false
SpinalVentralHalf	false
Antibody	false
C7	false
AnimalSpecies	false
Sedative	false
Albumin	false
LaminectomyType	false
Volume	true
Thoracic	false
