#class	isLiteral
PartialTransection	false
SpinalLesionSite	false
Scissors	false
Estrogen	false
SubstanceApplicationLocation	false
FluanisoneMidazolamMixture	false
MeasurementOfDecreasingTemperature	false
T6	false
ModerateInjury	false
ICOSCorporation	false
MicrodialysisDelivery	false
HartleyGuineaPig	false
BladderExpression	false
Dipyridamol	false
17BetaEstradiolE2	false
DNA	false
Epidural	false
Brain	false
CompoundSupplier	false
IrisClip	false
EvansBlue	false
T13	false
Magnesium	false
Extremity	false
VimentinAntiSenseDNA	false
NewZealandRabbit	false
Indomethacin	false
Riluzole	false
AnimalCareCondition	false
VeinLocation	false
NovartisMexico	false
LesionAdjacentTissue	false
HematoxyLinEosin	false
SpinalGrayMatter	false
Caudal	false
PEGFITC	false
IridectomyScissors	false
IntramuscularLocation	false
WeightDrop	false
NT3Lentivirus	false
MesenchymalStemCell	false
Virus	false
BodyTemperatureMeasurement	false
Pregnenolone	false
ChondroitinaseABC	false
VertebralLocation	false
Melatonin	false
OSUImpactor	false
Tissue	false
Housing	false
UTADistractor	false
OlfactoryEnsheathingGliaCell	false
P188	false
Seikagaku	false
Rostral	false
T1	false
L1	false
Vertebrae	false
Pressure	true
ThiopentalSodium	false
DistractionType	false
InjuryByAccidentType	false
GlialCell	false
StemCell	false
RatSpecies	false
SpinalCord	false
T7	false
DorsalInjuryArea	false
RNA	false
Left	false
InfiniteHorizonImpactor	false
NS398	false
Water	false
InVitroExperimentalProcedure	false
PostsurgicalMedication	false
Forceps	false
Xenogeneic	false
Substance	false
Right	false
DeliveryMethod	false
Tetracycline	false
Balloon	false
DistractorDevices	false
NOGOReceptorAntagonist	false
Inosine	false
Darbepoetin	false
CytrexCorporation	false
MethylprednisoloneMP	false
SpinalVentralHalf	false
Antibody	false
C7	false
AnimalSpecies	false
Sedative	false
Albumin	false
LaminectomyType	false
Volume	true
Thoracic	false
T2	false
DragonPharmaceuticals	false
PhotochemicalInjury	false
QuadrantInjuryArea	false
RecombinantEPORhEpo	false
CyclosporineA	false
Matrix	false
AllenWeightDropDevice	false
C57_BL6_Mouse	false
Autologous	false
NucleicAcid	false
Erythropoietin	false
Duration	true
Penicillinase	false
Methanesulfonamide	false
MacaqueMonkey	false
AspirationLesion	false
VentricularLocation	false
CephalicVeinLocation	false
NitrousOxide	false
SodiumPentobarbital	false
SpinalCentralPart	false
PartialTransectionType	false
Progesterone	false
InhalationDelivery	false
InjuryIntensity	false
EstradiolBenzoate	false
CompoundBiologicalRelation	false
Rolipram	false
LightIntensity	true
T12	false
ChloralHydrate	false
UnivOfTriesteImpactor	false
AneurysmClip	false
LateralHemisection	false
AscendingFiberTract	false
L5	false
Injury	false
SevereInjury	false
DislocationDevice	false
WistarRat	false
CD1_Mouse	false
Dislocation	false
T4	false
LithiumChloride	false
BrainDerivedNeurotrophicFactor	false
MASCISImpactor	false
AtorvastatinAT	false
DosageIntracorporal	false
MeasurementOfIncreasingTemperature	false
SpinalDorsalHalf	false
Ethanol	false
MouseSpecies	false
L4	false
Syngenic	false
T5	false
T11	false
MonkeySpecies	false
Halothane	false
UBCMultimechanismDevice	false
Pregabalin	false
Distraction	false
InfusionDelivery	false
PostSurgeryCondition	false
PregnenoloneS	false
Cervical	false
Direction	false
RocheMexico	false
Vibraknife	false
MPSS	false
AcetylsalicylicAcid	false
AtropineSulfate	false
NektarTherapeuticsInc	false
Lipopolysaccharide	false
ChemicalInjury	false
SpinalSubduralArea	false
Retrovirus	false
T9	false
SC58125	false
ChinaShenyangSunshinePharmaceuticalCompany	false
GuineaPigSpecies	false
HarringtonDistractor	false
OrganismSpecies	false
NuclearTransfection	false
CentralNervousSystem	false
AntiNogoAAntibody	false
TemporalInterval	false
UnilateralInjuryArea	false
ListerHoodedRat	false
Pioglitazone	false
InjectionDelivery	false
KeepingCondition	false
BoneMarrowStemCell	false
Protein	false
SpinalFiberTract	false
T10	false
CompoundSource	false
Force	true
CorticospinalTract	false
C5	false
DislocationType	false
SpragueDawleyRat	false
SpinalCordStrapper	false
TShapedLesion	false
RingersSolution	false
MinipigSpecies	false
PfizerMexico	false
L3	false
MildInjury	false
T3	false
TailVeinLocation	false
Enzyme	false
Dedifferentiation	false
MedicationDuringSurgery	false
SchwannCell	false
No5DumontForeceps	false
OralDelivery	false
SuperficialDelivery	false
Vehicle	false
StemCellSourceType	false
DogSpecies	false
SpringScissors	false
Neurotrophin3	false
Distance	true
L2	false
Hormone	false
EpiduralClip	false
InjuryArea	false
RabbitSpecies	false
NYUImpactor	false
CompleteInjuryArea	false
Glycopyrrolate	false
UmbilicalCordBloodStemCell	false
Blade	false
Phenytoine	false
Celebocid	false
Iloprost	false
C6	false
AntiNG2Antibody	false
Lentivirus	false
SubcutaneousLocation	false
Mexiletine	false
LightSource	false
ScoutenWireKnife	false
T8	false
Clip	false
Conduit	false
TakedaPharmaceuticalCompany	false
MagnesiumSulfate	false
CuttingDevice	false
Proliferation	false
FischerRat	false
DosageExtracorporal	false
RubrospinalTract	false
Lumbar	false
Intrathecal	false
C4	false
Ketamine	false
CompleteTransection	false
BALB_C_Mouse	false
Isoflurane	false
IntraperitonealLocation	false
Saline	false
CompleteTransectionType	false
Compression	false
Hydration	false
InjuryDevice	false
DorsalColumn	false
Poloxamer	false
ArylsulfataseB	false
Xylazine	false
HeatLesion	false
BW755C	false
AnatomicalLocation	false
PBS	false
LongEvansRat	false
Ibuprofen	false
CompressionType	false
Laminectomy	false
MacrophageCell	false
TyrosineHydroxylase	false
C1	false
VegetableOil	false
DorsalHemisection	false
Sacral	false
Purification	false
Nutrition	false
Allogeneic	false
InjuryByAccident	false
Cell	false
C2	false
AntiCD11dAntibody	false
ExperimentalProcedure	false
Compound	false
KetamineAsAnaesthetic	false
OrthoBiotech	false
LewisRat	false
VentralInjuryArea	false
Intraspinal	false
AsialoEPO	false
FemoralVeinLocation	false
MinocyclineMC	false
Steroid	false
Depth	true
DehydroEpiandrosteroneSulfate	false
DMSO	false
CD2_Mouse	false
P4	false
SigmaAldrich	false
PolyethyleneGlycolPEG	false
Location	false
VertebralSegment	false
ElectrolyticLesion	false
FogartyBalloonCatheter	false
Clodronate	false
Anaesthetic	false
AirGunImpactor	false
VertebralArea	false
VentralHemisection	false
ICI182780	false
Embryonic	false
SpinalWhiteMatter	false
Diazepam	false
Weight	true
Dosage	true
C3	false
AntibioticMedication	false
Contusion	false
ImmuneCell	false
ContusionType	false
CatSpecies	false
